,TEAM,2012_GMS_home,2012_TOTAL_home,2012_AVG_home,2012_PCT_home,2012_GMS_road,2012_AVG_road,2012_PCT_road,2012_GMS_overall,2012_AVG_overall,2012_PCT_overall,2013_GMS_home,2013_TOTAL_home,2013_AVG_home,2013_PCT_home,2013_GMS_road,2013_AVG_road,2013_PCT_road,2013_GMS_overall,2013_AVG_overall,2013_PCT_overall,2014_GMS_home,2014_TOTAL_home,2014_AVG_home,2014_PCT_home,2014_GMS_road,2014_AVG_road,2014_PCT_road,2014_GMS_overall,2014_AVG_overall,2014_PCT_overall,2015_GMS_home,2015_TOTAL_home,2015_AVG_home,2015_PCT_home,2015_GMS_road,2015_AVG_road,2015_PCT_road,2015_GMS_overall,2015_AVG_overall,2015_PCT_overall,2016_GMS_home,2016_TOTAL_home,2016_AVG_home,2016_PCT_home,2016_GMS_road,2016_AVG_road,2016_PCT_road,2016_GMS_overall,2016_AVG_overall,2016_PCT_overall,2017_GMS_home,2017_TOTAL_home,2017_AVG_home,2017_PCT_home,2017_GMS_road,2017_AVG_road,2017_PCT_road,2017_GMS_overall,2017_AVG_overall,2017_PCT_overall,2018_GMS_home,2018_TOTAL_home,2018_AVG_home,2018_PCT_home,2018_GMS_road,2018_AVG_road,2018_PCT_road,2018_GMS_overall,2018_AVG_overall,2018_PCT_overall,2019_GMS_home,2019_TOTAL_home,2019_AVG_home,2019_PCT_home,2019_GMS_road,2019_AVG_road,2019_PCT_road,2019_GMS_overall,2019_AVG_overall,2019_PCT_overall,2020_GMS_home,2020_TOTAL_home,2020_AVG_home,2020_PCT_home,2020_GMS_road,2020_AVG_road,2020_PCT_road,2020_GMS_overall,2020_AVG_overall,2020_PCT_overall,2021_GMS_home,2021_TOTAL_home,2021_AVG_home,2021_PCT_home,2021_GMS_road,2021_AVG_road,2021_PCT_road,2021_GMS_overall,2021_AVG_overall,2021_PCT_overall,2022_GMS_home,2022_TOTAL_home,2022_AVG_home,2022_PCT_home,2022_GMS_road,2022_AVG_road,2022_PCT_road,2022_GMS_overall,2022_AVG_overall,2022_PCT_overall
20,San Diego,81,2123721,26218,61.4,81,31422,69.4,162,28820,65.5,81,2166691,26749,62.7,81,32212,71.5,162,29480,67.2,81,2195373,27103,63.5,80,32877,72.0,161,29972,67.8,81,2459752,30367,71.1,81,31721,69.0,162,31044,70.0,81,2351426,29029,68.0,81,32847,71.8,162,30938,70.0,81,2138491,26401,61.8,81,32161,70.9,162,29281,66.5,80,2147000,26837,64.5,81,30730,68.1,161,28795,66.4,81,2396399,29585,0.0,81,32446,0.0,162,31015,0.0,,,,,,,,,,,81,2191950,27061,0.0,79,22140,0.0,160,24631,0.0,81,2991470,36931,0.0,80,29754,0.0,161,33365,0.0
21,Pittsburgh,80,2091918,26148,68.2,81,31307,71.7,161,28744,70.1,80,2256862,28210,73.5,81,33488,76.2,161,30865,75.0,81,2442564,30155,78.6,79,33316,76.1,160,31715,77.3,81,2498596,30846,80.4,81,33049,76.5,162,31947,78.3,80,2249021,28112,73.3,81,29999,68.8,161,29061,70.9,81,1919447,23696,62.5,81,32633,75.3,162,28164,69.4,78,1465316,18786,49.0,81,31288,72.7,159,25155,61.7,81,1491429,18412,0.0,81,32070,0.0,162,25241,0.0,,,,,,,,,,,81,859498,10611,0.0,80,20719,0.0,161,15633,0.0,81,1257458,15524,0.0,80,28495,0.0,161,21969,0.0
22,Toronto,81,2099663,25921,52.6,80,29075,69.8,161,27488,60.4,81,2536562,31315,63.6,81,28039,66.0,162,29677,64.7,81,2375525,29327,59.5,81,29708,71.2,162,29518,64.9,81,2794891,34504,70.0,79,27762,65.8,160,31175,68.1,81,3392299,41880,85.0,81,30065,71.2,162,35972,78.6,81,3203886,39554,80.3,81,29912,71.4,162,34733,76.2,80,2325281,29066,59.0,80,25152,60.1,160,27109,59.5,81,1750144,21606,0.0,81,25904,0.0,162,23755,0.0,,,,,,,,,,,80,809557,10119,0.0,78,16398,0.0,158,13219,0.0,81,2653830,32763,0.0,78,26280,0.0,159,29582,0.0
23,Chicago White Sox,81,1965955,24271,59.8,81,29983,69.7,162,27127,64.9,80,1768413,22105,54.4,81,27333,65.0,161,24735,59.9,79,1650821,20896,51.5,81,28519,66.7,160,24755,59.4,80,1755810,21947,54.0,80,29030,69.4,160,25489,61.9,80,1746293,21828,53.7,81,28188,67.9,161,25028,60.9,79,1629470,20626,50.8,81,28443,66.4,160,24583,58.9,80,1608817,20110,50.1,80,26240,62.8,160,23175,56.6,76,1629636,21442,0.0,81,24384,0.0,157,22960,0.0,,,,,,,,,,,78,1596385,20466,0.0,80,16576,0.0,158,18496,0.0,80,1976344,24704,0.0,78,22118,0.0,158,23427,0.0
24,Kansas City,80,1739859,21748,57.4,81,27447,64.7,161,24615,61.3,81,1750754,21614,57.0,81,27433,64.7,162,24523,61.1,81,1956482,24154,63.7,81,26872,62.8,162,25513,63.2,81,2708549,33438,88.2,81,27681,65.4,162,30560,76.2,81,2557712,31576,83.3,81,27979,66.3,162,29778,74.3,80,2220370,27754,73.2,80,28458,66.2,160,28106,69.5,81,1665107,20556,54.2,80,24262,57.7,161,22398,56.1,80,1479659,18495,0.0,80,25072,0.0,160,21783,0.0,,,,,,,,,,,81,1159613,14316,0.0,80,16222,0.0,161,15263,0.0,80,1277986,15974,0.0,80,22474,0.0,160,19224,0.0
25,Seattle,81,1721920,21258,44.4,81,28262,67.0,162,24760,55.0,81,1761546,21747,45.4,81,28445,67.5,162,25096,55.8,81,2064334,25485,53.2,80,28158,66.3,161,26813,59.3,81,2193581,27081,56.6,81,29052,67.7,162,28066,61.8,81,2267928,27999,58.5,81,28309,67.3,162,28154,62.6,81,2135445,26363,55.1,80,26797,62.9,161,26579,58.7,81,2299489,28388,59.3,80,27174,63.6,161,27785,61.3,81,1791937,22122,0.0,81,26548,0.0,162,24335,0.0,,,,,,,,,,,81,1215985,15012,0.0,79,16869,0.0,160,15929,0.0,80,2287267,28590,0.0,81,22973,0.0,161,25764,0.0
26,Oakland,81,1679013,20728,60.6,81,29978,68.0,162,25353,64.8,81,1809302,22337,63.7,81,29308,67.1,162,25822,65.6,80,2003628,25045,71.4,81,28757,65.6,161,26912,68.2,81,1768175,21829,62.3,81,29526,66.8,162,25677,64.8,81,1521506,18784,53.6,81,29511,67.4,162,24147,61.2,80,1475721,18446,52.6,80,29466,67.1,160,23956,60.7,81,1573616,19427,55.4,80,28748,65.5,161,24058,61.0,81,1662211,20521,0.0,81,27615,0.0,162,24068,0.0,,,,,,,,,,,80,701430,8767,0.0,81,19085,0.0,161,13958,0.0,79,787902,9973,0.0,81,26031,0.0,160,18102,0.0
27,Houston,81,1607733,19848,48.5,81,31119,72.1,162,25483,60.6,81,1651883,20393,49.8,81,27574,64.0,162,23983,57.1,81,1751829,21627,52.8,81,27191,63.0,162,24409,58.0,81,2153585,26587,64.9,81,28121,64.6,162,27354,64.7,81,2306623,28476,69.5,81,28041,65.0,162,28258,67.2,81,2403671,29674,72.9,79,27678,64.3,160,28689,68.5,81,2980549,36796,89.8,80,28842,65.4,161,32844,77.3,81,2857367,35276,0.0,80,26302,0.0,161,30817,0.0,,,,,,,,,,,81,2068509,25537,0.0,81,17947,0.0,162,21742,0.0,81,2688998,33197,0.0,80,25112,0.0,161,29179,0.0
28,Cleveland,81,1603596,19797,45.6,81,28285,68.2,162,24041,56.6,80,1572926,19661,45.3,80,28234,67.8,160,23947,56.3,78,1437393,18428,42.4,81,29107,68.9,159,23868,55.7,78,1388905,17806,41.0,81,29150,70.4,159,23585,55.6,81,1591667,19650,45.2,79,26940,63.9,160,23249,54.3,81,2048138,25285,58.2,80,27729,66.3,161,26499,62.2,80,1926701,24083,55.4,81,26088,64.2,161,25092,59.7,79,1738642,22008,0.0,81,24944,0.0,160,23494,0.0,,,,,,,,,,,77,1114368,14472,0.0,80,16264,0.0,157,15385,0.0,76,1295869,17050,0.0,80,25315,0.0,156,21289,0.0
29,Tampa Bay,81,1559681,19255,56.5,81,30403,69.2,162,24829,63.6,81,1510300,18645,54.7,82,30154,67.6,163,24435,62.1,81,1446464,17857,52.4,81,28685,65.8,162,23271,59.9,81,1247668,15403,45.2,81,28189,65.1,162,21796,56.3,81,1286163,15878,46.6,81,30093,67.8,162,22985,58.6,80,1253619,15670,45.6,81,29898,68.8,161,22828,58.6,81,1154973,14258,41.8,80,26381,60.8,161,20282,52.4,80,1178735,14734,0.0,79,26067,0.0,159,20365,0.0,,,,,,,,,,,80,761072,9513,0.0,81,16339,0.0,161,12947,0.0,81,1128127,13927,0.0,81,25027,0.0,162,19477,0.0
